2008年12月3日 - ,中国最后一批滞留泰国的248名游客被接回,https://china.huanqiu.com/article/9CaKrnJlgef
2008年12月4日 - ,泰国局势仍迷雾重重 世界各方密切关注_国际新闻_环球网,https://world.huanqiu.com/error/404
2008年12月1日 - ,泰国反政府示威者拒绝撤离机场,https://world.huanqiu.com/article/9CaKrnJlfOw
2008年11月30日 - ,625名滞留泰国的中国旅客回到北京,https://china.huanqiu.com/article/9CaKrnJlfuR
2008年12月3日 - ,泰反政府示威者撤离机场 机场损失千万美元,https://world.huanqiu.com/article/9CaKrnJlgjr
2008年12月3日 - ,中国最后一批滞留泰国的248名游客被接回,https://china.huanqiu.com/article/9CaKrnJlgef
2008年12月3日 - ,泰国局势观察:内忧外患下人民日子不好过,https://world.huanqiu.com/article/9CaKrnJlggO
2008年10月15日 - ,泰国称中国造催泪弹致人伤亡 我专家严重质疑,https://mil.huanqiu.com/article/9CaKrnJl3Dh
2008年10月12日 - ,全球第六名太空游客今日开始10天太空之旅,https://world.huanqiu.com/article/9CaKrnJl2Ru
2008年11月30日 - ,625名滞留泰国的中国旅客回到北京,https://china.huanqiu.com/article/9CaKrnJlfuR?w=280
2008年12月3日 - ,泰国局势观察:内忧外患下人民日子不好过,https://world.huanqiu.com/article/9CaKrnJlggO
2008年10月15日 - ,泰国称中国造催泪弹致人伤亡 我专家严重质疑,https://mil.huanqiu.com/article/9CaKrnJl3Dh
